,label,tweet,tokenize_text,stop removal text,stemmed_text
0,Negatif,soal jalan jatibaru polisi tidak bisa gertak gubernur emangny polisi tidak ikut pmbhasan jangan berpolitik pengaturan wilayah hak gubernur persoalan tn abang soal turun temurun pelik perlu kesabaran nama pengguna nama pengguna uniform resource locator,"['soal', 'jalan', 'jatibaru', 'polisi', 'tidak', 'bisa', 'gertak', 'gubernur', 'emangny', 'polisi', 'tidak', 'ikut', 'pmbhasan', 'jangan', 'berpolitik', 'pengaturan', 'wilayah', 'hak', 'gubernur', 'persoalan', 'tn', 'abang', 'soal', 'turun', 'temurun', 'pelik', 'perlu', 'kesabaran', 'nama', 'pengguna', 'nama', 'pengguna', 'uniform', 'resource', 'locator']","['soal', 'jalan', 'jatibaru', 'polisi', 'bisa', 'gertak', 'gubernur', 'emangny', 'polisi', 'ikut', 'pmbhasan', 'jangan', 'berpolitik', 'pengaturan', 'wilayah', 'hak', 'gubernur', 'persoalan', 'tn', 'abang', 'soal', 'turun', 'temurun', 'pelik', 'perlu', 'kesabaran', 'nama', 'pengguna', 'nama', 'pengguna', 'uniform', 'resource', 'locator']",soal jalan jatibaru polisi bisa gertak gubernur emangny polisi ikut pmbhasan jangan politik atur wilayah hak gubernur soal tn abang soal turun turun pelik perlu sabar nama guna nama guna uniform resource locator
1,Negatif,sesama cewek lo kayaknya harusnya bisa lebih rasakan lah yang harus sibuk jaga diri rasakan sakitnya haid dan paniknya pulang malam sendirian bagaimana orang asing wajarlah banyak korban yang takut curhat bukan dibela malah dihujat,"['sesama', 'cewek', 'lo', 'kayaknya', 'harusnya', 'bisa', 'lebih', 'rasakan', 'lah', 'yang', 'harus', 'sibuk', 'jaga', 'diri', 'rasakan', 'sakitnya', 'haid', 'dan', 'paniknya', 'pulang', 'malam', 'sendirian', 'bagaimana', 'orang', 'asing', 'wajarlah', 'banyak', 'korban', 'yang', 'takut', 'curhat', 'bukan', 'dibela', 'malah', 'dihujat']","['sesama', 'cewek', 'lo', 'kayaknya', 'harusnya', 'lebih', 'rasakan', 'lah', 'harus', 'sibuk', 'jaga', 'diri', 'rasakan', 'sakitnya', 'haid', 'paniknya', 'pulang', 'malam', 'sendirian', 'bagaimana', 'orang', 'asing', 'wajarlah', 'banyak', 'korban', 'takut', 'curhat', 'bukan', 'dibela', 'malah', 'dihujat']",sama cewek lo kayak harus lebih rasa lah harus sibuk jaga diri rasa sakit haid panik pulang malam sendiri bagaimana orang asing wajar banyak korban takut curhat bukan bela malah hujat
2,Positif,ingin gudeg mbarek bu hj amat foto dari google sengaja biar temanteman juga membayangkanya berbagi itu indah,"['ingin', 'gudeg', 'mbarek', 'bu', 'hj', 'amat', 'foto', 'dari', 'google', 'sengaja', 'biar', 'temanteman', 'juga', 'membayangkanya', 'berbagi', 'itu', 'indah']","['gudeg', 'mbarek', 'bu', 'hj', 'foto', 'google', 'sengaja', 'biar', 'temanteman', 'membayangkanya', 'berbagi', 'indah']",gudeg mbarek bu hj foto google sengaja biar temanteman membayangkanya bagi indah
3,Negatif,jalan jatibaru bagian dari wilayah tn abang pengaturan wilayah tg jawab dan wnang gubernur tng abng soal rumit sejak gubernur trdahulu sekarang sedng dibenahi agr bermnfat semua pihak mohon yang punya otak berpikirlah dengan wajar kecuali otaknya butek ya kamu uniform resource locator,"['jalan', 'jatibaru', 'bagian', 'dari', 'wilayah', 'tn', 'abang', 'pengaturan', 'wilayah', 'tg', 'jawab', 'dan', 'wnang', 'gubernur', 'tng', 'abng', 'soal', 'rumit', 'sejak', 'gubernur', 'trdahulu', 'sekarang', 'sedng', 'dibenahi', 'agr', 'bermnfat', 'semua', 'pihak', 'mohon', 'yang', 'punya', 'otak', 'berpikirlah', 'dengan', 'wajar', 'kecuali', 'otaknya', 'butek', 'ya', 'kamu', 'uniform', 'resource', 'locator']","['jalan', 'jatibaru', 'bagian', 'wilayah', 'tn', 'abang', 'pengaturan', 'wilayah', 'tg', 'jawab', 'wnang', 'gubernur', 'tng', 'abng', 'soal', 'rumit', 'sejak', 'gubernur', 'trdahulu', 'sekarang', 'sedng', 'dibenahi', 'agr', 'bermnfat', 'semua', 'pihak', 'mohon', 'punya', 'otak', 'berpikirlah', 'wajar', 'otaknya', 'butek', 'kamu', 'uniform', 'resource', 'locator']",jalan jatibaru bagi wilayah tn abang atur wilayah tg jawab wnang gubernur tng abng soal rumit sejak gubernur trdahulu sekarang sedng benah agr bermnfat semua pihak mohon punya otak pikir wajar otak butek kamu uniform resource locator
4,Positif,sharing pengalaman saja kemarin jam batalin tiket di stasiun pasar senin lancar antrean tidak terlalu ramai menitan dan beres semua mungkin bisa dicoba twit di jamjam sebegitu c nama pengguna,"['sharing', 'pengalaman', 'saja', 'kemarin', 'jam', 'batalin', 'tiket', 'di', 'stasiun', 'pasar', 'senin', 'lancar', 'antrean', 'tidak', 'terlalu', 'ramai', 'menitan', 'dan', 'beres', 'semua', 'mungkin', 'bisa', 'dicoba', 'twit', 'di', 'jamjam', 'sebegitu', 'c', 'nama', 'pengguna']","['sharing', 'pengalaman', 'kemarin', 'jam', 'batalin', 'tiket', 'stasiun', 'pasar', 'senin', 'lancar', 'antrean', 'terlalu', 'ramai', 'menitan', 'beres', 'semua', 'mungkin', 'dicoba', 'twit', 'jamjam', 'sebegitu', 'c', 'nama', 'pengguna']",sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antre terlalu ramai menit beres semua mungkin coba twit jamjam begitu c nama guna
5,Negatif,dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam penulisan sumpah aneh banget mau memaki lebay saja segala bikin thread aduh aku juga tidak jago menulis tapi tulisan aku tidak seberantakan thread mbaknya,"['dari', 'sekian', 'banyak', 'thread', 'yang', 'aku', 'baca', 'thread', 'ini', 'paling', 'aneh', 'sih', 'dalam', 'penulisan', 'sumpah', 'aneh', 'banget', 'mau', 'memaki', 'lebay', 'saja', 'segala', 'bikin', 'thread', 'aduh', 'aku', 'juga', 'tidak', 'jago', 'menulis', 'tapi', 'tulisan', 'aku', 'tidak', 'seberantakan', 'thread', 'mbaknya']","['sekian', 'banyak', 'thread', 'aku', 'baca', 'thread', 'paling', 'aneh', 'sih', 'penulisan', 'sumpah', 'aneh', 'banget', 'mau', 'memaki', 'lebay', 'segala', 'bikin', 'thread', 'aduh', 'aku', 'jago', 'menulis', 'tulisan', 'aku', 'tidak', 'seberantakan', 'thread', 'mbaknya']",sekian banyak thread aku baca thread paling aneh sih tulis sumpah aneh banget mau maki lebay segala bikin thread aduh aku jago tulis tulis aku tidak beranta thread mbak
6,Positif,sharing sama teman itu memang guna banget disat kamu merasa masalah kamu berat banget ternyata teman kita sendiri punya masalah lebih berat dari kita malah masalah kita tidak ada apanya dibanding masalah dia,"['sharing', 'sama', 'teman', 'itu', 'memang', 'guna', 'banget', 'disat', 'kamu', 'merasa', 'masalah', 'kamu', 'berat', 'banget', 'ternyata', 'teman', 'kita', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'dari', 'kita', 'malah', 'masalah', 'kita', 'tidak', 'ada', 'apanya', 'dibanding', 'masalah', 'dia']","['sharing', 'sama', 'teman', 'memang', 'banget', 'disat', 'kamu', 'merasa', 'masalah', 'kamu', 'berat', 'banget', 'ternyata', 'teman', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'malah', 'masalah', 'kita', 'tidak', 'apanya', 'dibanding', 'masalah']",sharing sama teman memang banget sat kamu rasa masalah kamu berat banget nyata teman sendiri punya masalah lebih berat malah masalah kita tidak apa banding masalah
7,Negatif,orang lain kalau pakai ponco itu buat jas hujan nah dia pakai buat kasur ya tadi gara saking tidak punya apa mamak bilang kami itu di awal pernikan tidak ada mengalami bulan madu kayak sekarang orang tidur nya saja pakai ponco gimane mau bulan madu,"['orang', 'lain', 'kalau', 'pakai', 'ponco', 'itu', 'buat', 'jas', 'hujan', 'nah', 'dia', 'pakai', 'buat', 'kasur', 'ya', 'tadi', 'gara', 'saking', 'tidak', 'punya', 'apa', 'mamak', 'bilang', 'kami', 'itu', 'di', 'awal', 'pernikan', 'tidak', 'ada', 'mengalami', 'bulan', 'madu', 'kayak', 'sekarang', 'orang', 'tidur', 'nya', 'saja', 'pakai', 'ponco', 'gimane', 'mau', 'bulan', 'madu']","['orang', 'kalau', 'pakai', 'ponco', 'buat', 'jas', 'hujan', 'nah', 'pakai', 'buat', 'kasur', 'tadi', 'gara', 'saking', 'punya', 'apa', 'mamak', 'bilang', 'itu', 'awal', 'pernikan', 'ada', 'mengalami', 'bulan', 'madu', 'kayak', 'sekarang', 'orang', 'tidur', 'nya', 'pakai', 'ponco', 'gimane', 'mau', 'bulan', 'madu']",orang kalau pakai ponco buat jas hujan nah pakai buat kasur tadi gara saking punya apa mamak bilang itu awal pernik ada alami bulan madu kayak sekarang orang tidur nya pakai ponco gimane mau bulan madu
8,Negatif,contoh mereka yang gemar menyudutkan teriak paling toleran tetapi gemar menuduh gemar menilai seseorang berdasarkan versi mereka cukup tau saja,"['contoh', 'mereka', 'yang', 'gemar', 'menyudutkan', 'teriak', 'paling', 'toleran', 'tetapi', 'gemar', 'menuduh', 'gemar', 'menilai', 'seseorang', 'berdasarkan', 'versi', 'mereka', 'cukup', 'tau', 'saja']","['contoh', 'yang', 'gemar', 'menyudutkan', 'teriak', 'paling', 'toleran', 'gemar', 'menuduh', 'gemar', 'menilai', 'seseorang', 'berdasarkan', 'versi', 'cukup', 'tau']",contoh yang gemar sudut teriak paling toleran gemar tuduh gemar nilai orang dasar versi cukup tau
9,Negatif,pulang sudah h lebaran dilema sekali seperti tidak bisa melakukan apa di rumah sebelum lebaran buka puasa bareng cuma hari sama keluarga begitu juga sahur,"['pulang', 'sudah', 'h', 'lebaran', 'dilema', 'sekali', 'seperti', 'tidak', 'bisa', 'melakukan', 'apa', 'di', 'rumah', 'sebelum', 'lebaran', 'buka', 'puasa', 'bareng', 'cuma', 'hari', 'sama', 'keluarga', 'begitu', 'juga', 'sahur']","['pulang', 'h', 'lebaran', 'dilema', 'sekali', 'tidak', 'melakukan', 'apa', 'rumah', 'lebaran', 'buka', 'puasa', 'bareng', 'cuma', 'hari', 'sama', 'keluarga', 'juga', 'sahur']",pulang h lebaran dilema sekali tidak laku apa rumah lebaran buka puasa bareng cuma hari sama keluarga juga sahur
